domains,country,web_pages,name
csuci.edu,"United States",https://www.csuci.edu/,"California State University Channel Islands"
calbaptist.edu,"United States",http://www.calbaptist.edu/,"California Baptist University"
calsouthern.edu,"United States",http://www.calsouthern.edu/,"California Southern University"
cpp.edu,"United States",http://www.cpp.edu/,"California Polytechnic State University, Pomona"
calcoast.edu,"United States",http://www.calcoast.edu/,"California Coast University"
caltech.edu,"United States",http://www.caltech.edu/,"California Institute of Technology"
callutheran.edu,"United States",http://www.callutheran.edu/,"California Lutheran University"
csum.edu,"United States",http://www.csum.edu/,"California Maritime Academy"
cnuas.edu,"United States",http://www.cnuas.edu/,"California National University"
calpoly.edu,"United States",http://www.calpoly.edu/,"California Polytechnic State University, San Luis Obispo"
"csub.edu,csubak.edu","United States",http://www.csub.edu/,"California State University, Bakersfield"
csuchico.edu,"United States",http://www.csuchico.edu/,"California State University, Chico"
csudh.edu,"United States",http://www.csudh.edu/,"California State University, Dominguez Hills"
"csufresno.edu,fresnostate.edu","United States","http://www.csufresno.edu/,http://www.fresnostate.edu/","California State University, Fresno"
fullerton.edu,"United States",http://www.fullerton.edu/,"California State University, Fullerton"
csuhayward.edu,"United States",http://www.csuhayward.edu/,"California State University, Hayward"
csulb.edu,"United States",http://www.csulb.edu/,"California State University, Long Beach"
calstatela.edu,"United States",http://www.calstatela.edu/,"California State University, Los Angeles"
csumb.edu,"United States",http://www.csumb.edu/,"California State University, Monterey Bay"
csun.edu,"United States",http://www.csun.edu/,"California State University, Northridge"
csus.edu,"United States",http://www.csus.edu/,"California State University, Sacramento"
csusb.edu,"United States",http://www.csusb.edu/,"California State University, San Bernardino"
csusm.edu,"United States",http://www.csusm.edu/,"California State University, San Marcos"
csustan.edu,"United States",http://www.csustan.edu/,"California State University, Stanislaus"
calstate.edu,"United States",http://www.calstate.edu/,"California State University System"
cup.edu,"United States",http://www.cup.edu/,"California University of Pennsylvania"
newcollege.edu,"United States",http://www.newcollege.edu/,"New College of California"
stmarys-ca.edu,"United States",http://www.stmarys-ca.edu/,"Saint Mary's College of California"
berkeley.edu,"United States",http://www.berkeley.edu/,"University of California, Berkeley"
ucdavis.edu,"United States",http://www.ucdavis.edu/,"University of California, Davis"
uci.edu,"United States",http://www.uci.edu/,"University of California, Irvine"
ucla.edu,"United States",http://www.ucla.edu/,"University of California, Los Angeles"
ucmerced.edu,"United States",http://www.ucmerced.edu/,"University of California, Merced"
ucop.edu,"United States",https://www.ucop.edu/,"University of California, Office of the President"
ucr.edu,"United States",http://www.ucr.edu/,"University of California, Riverside"
ucsd.edu,"United States",http://www.ucsd.edu/,"University of California, San Diego"
ucsf.edu,"United States",http://www.ucsf.edu/,"University of California, San Francisco"
ucsb.edu,"United States",http://www.ucsb.edu/,"University of California, Santa Barbara"
ucsc.edu,"United States",http://www.ucsc.edu/,"University of California, Santa Cruz"
"usc.edu,isi.edu","United States","http://www.usc.edu/,http://www.isi.edu/","University of Southern California"
carrington.edu,"United States",http://www.carrington.edu,"Carrington College California-Sacramento"
calarts.edu,"United States",https://calarts.edu/,"California Institute of the Arts"
csueastbay.edu,"United States",https://csueastbay.edu,"California State University"
cusm.edu,"United States",https://www.cusm.edu/,"California University of Science and Medicine"
cca.edu,"United States",https://cca.edu/,"California College of the Arts"
